index,headline,label,risk_category,risk_label
1951,"Dow Jones Futures: Nasdaq Breaks Lower, Tesla Dives Amid Musk-Twitter Deal; Microsoft Pops Late",Negative,MARKET_RISK,1
1952,"What Is PulteGroup, Inc.'s (NYSE:PHM) Share Price Doing?",Negative,COMPANY_RISK,2
1953,Baker Hughes (BKR) Stock Moves -0.45%: What You Should Know,Negative,COMPANY_RISK,2
1954,Analysts Estimate Skyworks Solutions (SWKS) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1955,Mattress Mack lost nearly $10M on Super Bowl bets: The highs and lows were terrific',Negative,COMPANY_RISK,2
1956,3 Divergent Stocks to Sell Right Now,Negative,COMPANY_RISK,2
1957,Stanley Black & Decker (SWK) Down 5.7% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
1958,Analysts Estimate CenterPoint Energy (CNP) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1959,AbbVie (ABBV) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
1960,Why Apartment Investment and Management Stock Plummeted 86% in December,Negative,COMPANY_RISK,2
1961,Why Charter Communications Plummeted Today,Negative,COMPANY_RISK,2
1962,PepsiCo (PEP) Stock Moves -0.48%: What You Should Know,Negative,COMPANY_RISK,2
1963,Advance Auto Parts Q1 Results Fall Just Short of Wall Street Estimates,Negative,COMPANY_RISK,2
1964,C.H. Robinson (CHRW) Down 2.5% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
1965,"Fed: 'The 30+ year bull market in interest rates is over, strategist says",Negative,MARKET_RISK,1
1966,Some Sturm Ruger shareholders are seeking a human rights impact assessment of the gun maker. Does your ETF hold the stock?,Negative,COMPANY_RISK,2
1967,Avery Dennison (AVY) Down 11.3% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
1968,Altria Slumps Ahead of Potential FDA Order to Pull Juul,Negative,COMPANY_RISK,2
1969,UPDATE 4-Ford recalls 3.3 million vehicles over rollaway concerns,Negative,COMPANY_RISK,2
1970,Why the Earnings Surprise Streak Could Continue for Zoetis (ZTS),Negative,COMPANY_RISK,2
1971,3 Stocks to Avoid This Week,Negative,COMPANY_RISK,2
1972,"Midday Stock Movers: Twitter, Shopify, eBay",Negative,COMPANY_RISK,2
1973,Bristol Myers Squibb (BMY) Stock Moves -0.55%: What You Should Know,Negative,COMPANY_RISK,2
1974,Why Is Blueprint Medicines (BPMC) Down 11.4% Since Last Earnings Report?,Negative,MARKET_RISK,1
1975,"Ceragon Networks (CRNT) Reports Q4 Loss, Tops Revenue Estimates",Negative,COMPANY_RISK,2
1976,Accentures Revenue Forecast Misses Estimates. The Stock Falls.,Negative,COMPANY_RISK,2
1977,Cboe to Add Tuesday and Thursday Expirations for SPX Weeklys Options,Negative,COMPANY_RISK,2
1978,Why Is TransDigm (TDG) Down 2.5% Since Last Earnings Report?,Negative,MARKET_RISK,1
1979,"Xerox has stopped shipments to Russia, CFO says",Negative,COMPANY_RISK,2
1980,Will the real net zero please stand up?,Negative,COMPANY_RISK,2
1981,Jack Dorsey's Cash App Has Bad News For Customers,Negative,COMPANY_RISK,2
1982,BNY Mellon's Irish funds arm fined 10.8 mln euros for regulatory breaches,Negative,REGULATORY_RISK,3
1983,Under Armour CEO Patrik Frisk Is Stepping Down,Negative,MARKET_RISK,1
1984,Analysts Estimate National Oilwell Varco (NOV) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1985,"Kinneret Advisory, LLC Buys Visa Inc, WEC Energy Group Inc, The Travelers Inc, Sells Waters ...",Negative,COMPANY_RISK,2
1986,Bear Market Intensifies On Fears Of Fed-Led Recession: Weekly Review,Negative,MARKET_RISK,1
1987,Cathie Woods Latest Thoughts on Inflation and Her 10 Worst-Performing Stock Picks,Negative,MARKET_RISK,1
1988,UPDATE 2-Mondelez to buy energy bar maker Clif Bar for about $3 billion,Negative,COMPANY_RISK,2
1989,E-commerce stocks plunge on earnings as demand slows,Negative,COMPANY_RISK,2
1990,Like an inferno: Western U.S. is burning at a furious pace so far this year,Negative,COMPANY_RISK,2
1991,"Laird Superfood, Inc. (LSF) Reports Q4 Loss, Lags Revenue Estimates",Negative,COMPANY_RISK,2
1992,7 Transportation Stocks to Avoid During These Trying Times,Negative,COMPANY_RISK,2
1993,Analysts Estimate L3Harris (LHX) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
1994,Why Is Advance Auto Parts (AAP) Down 0.1% Since Last Earnings Report?,Negative,MARKET_RISK,1
1995,"Citing Supply-Chain Impact, Medtronic Misses Guidance. The Stock Is Down.",Negative,MARKET_RISK,1
1996,Inventory: 2 charts reveal another new risk for investors,Negative,COMPANY_RISK,2
1997,CSX (CSX) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
1998,Was The Smart Money Right About Capital One Financial Corp. (COF)?,Negative,COMPANY_RISK,2
1999,Goldman Sachs economist sees 'a slowdown in consumer spending',Negative,MARKET_RISK,1
2000,"Wall Street Doesn't Like These 2 Deals, and Shareholders Are Paying the Price Monday",Negative,COMPANY_RISK,2
2001,Loews CEO Rails Against Absurd Valuation of Conglomerate,Negative,COMPANY_RISK,2
2002,CNO Financial (CNO) Down 15% as Q1 Earnings & Revenue Miss,Negative,MARKET_RISK,1
2003,Texas Instruments stock drops as Chinas COVID restrictions prompt cautious outlook,Negative,COMPANY_RISK,2
2004,State Street spokesperson says company 'will not respond' to report about buying Credit Suisse,Negative,COMPANY_RISK,2
2005,"Super Bowl sports betting winnings subject to taxation, tax expert says",Negative,COMPANY_RISK,2
2006,Microsoft: Taking a Fresh Look at the Charts,Negative,COMPANY_RISK,2
2007,Why Zebra Stock Tanked 19% in February,Negative,COMPANY_RISK,2
2008,Here's How Inflation Is Providing Home Depot an Assist,Negative,MARKET_RISK,1
2009,Return Trends At Verisk Analytics (NASDAQ:VRSK) Aren't Appealing,Negative,MARKET_RISK,1
2010,Here's What QUALCOMM Incorporated's (NASDAQ:QCOM) Shareholder Ownership Structure Looks Like,Negative,MARKET_RISK,1
2011,Carnival Follows Norwegian Cruise Line in Raising Key Fee,Negative,COMPANY_RISK,2
2012,Do All These Stock Splits Mean a Market Correction Was Imminent?,Negative,MARKET_RISK,1
2013,Ross Stores stock dives after the retailer cut its forecast,Negative,COMPANY_RISK,2
2014,Why mounting tech layoffs threaten the broader Bay Area economy,Negative,COMPANY_RISK,2
2015,Earnings Preview: Kimberly-Clark (KMB) Q1 Earnings Expected to Decline,Negative,COMPANY_RISK,2
2016,Analysts Estimate Dentsply International (XRAY) to Report a Decline in Earnings: What to Look Out for,Negative,COMPANY_RISK,2
2017,Mid-America Apartment Communities (MAA) Tops Q3 FFO and Revenue Estimates,Negative,COMPANY_RISK,2
2018,Church & Dwight Co Inc (CHD) President and CEO Matthew Farrell Sold $9.4 million of Shares,Negative,COMPANY_RISK,2
2019,Target's latest pivot was a 'rip the bandaid off type event': Analyst,Negative,REGULATORY_RISK,3
2020,Demand Destruction Fears Drag Oil And Gas Prices Lower,Negative,COMPANY_RISK,2
2021,Autodesk stock drops after Deutsche Bank downgrades ahead of earnings report,Negative,REGULATORY_RISK,3
2022,Kellogg's faux meat spin-off faces 'tough environment',Negative,COMPANY_RISK,2
2023,Gap stock plummets after retailer slashes sales guidance,Negative,COMPANY_RISK,2
2024,"Globe Life Inc (GL) EVP & Chief Marketing Officer Jennifer Allison Haworth Sold $625,464 of ...",Negative,MARKET_RISK,1
2025,Iron Mountain (IRM) Stock Moves -0.79%: What You Should Know,Negative,COMPANY_RISK,2
2026,"If You Thought the Tech Rout Was Bad, Spare a Dime for Retailers",Negative,COMPANY_RISK,2
2027,Why Is Humana (HUM) Down 1.5% Since Last Earnings Report?,Negative,MARKET_RISK,1
2028,"Midday Movers: GameStop, MongoDB, Chewy and More",Negative,COMPANY_RISK,2
2029,Ukraine War and Sanctions Could Affect These 10 US Stocks,Negative,COMPANY_RISK,2
2030,"S.F. mayor calls for more policing, prosecutions as chamber survey highlights angst over public safety",Negative,COMPANY_RISK,2
2031,Analysts Are Downgrading These 10 Energy Stocks,Negative,MARKET_RISK,1
2032,Factors Shaping the Fate of Cummins (CMI) This Earnings Season,Negative,COMPANY_RISK,2
2033,Domino's Pizza (DPZ) Misses Q1 Earnings and Revenue Estimates,Negative,COMPANY_RISK,2
2034,"9 Big Companies Already Plunged Into A Recession, Analysts Say",Negative,MARKET_RISK,1
2035,Earnings Preview: NRG Energy (NRG) Q1 Earnings Expected to Decline,Negative,COMPANY_RISK,2
2036,Masco (MAS) Down 10.7% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2037,New Strong Sell Stocks for May 31st,Negative,COMPANY_RISK,2
2038,Social Media Stocks Sink to Erase $135 Billion on Snap Warning,Negative,COMPANY_RISK,2
2039,"Perrigo (PRGO) Misses on Q3 Earnings, Lowers Earnings View",Negative,COMPANY_RISK,2
2040,"Dow Jones Sells Off After Stock Market Bounce; Alphabet, Microsoft, Visa To Report",Negative,MARKET_RISK,1
2041,Here is What Hedge Funds Think About Roper Technologies Inc. (ROP),Negative,COMPANY_RISK,2
2042,Mednax (MD) Down 20% Despite Q1 Earnings Beat on Patient Volumes,Negative,MARKET_RISK,1
2043,McDonald's toughening franchise requirements,Negative,COMPANY_RISK,2
2044,Earnings Preview: Arconic (ARNC) Q1 Earnings Expected to Decline,Negative,COMPANY_RISK,2
2045,Factors to Impact Public Storage (PSA) This Earnings Season,Negative,COMPANY_RISK,2
2046,Is Corteva (NYSE:CTVA) Using Too Much Debt?,Negative,COMPANY_RISK,2
2047,Why Ross Stores Stock Plunged 25% at the Open Today,Negative,COMPANY_RISK,2
2048,Salesforce Earnings Offer a Warning Sign for Cloud Stocks,Negative,COMPANY_RISK,2
2049,New Strong Sell Stocks for February 18th,Negative,COMPANY_RISK,2
2050,Returns On Capital At PACCAR (NASDAQ:PCAR) Have Hit The Brakes,Negative,MARKET_RISK,1
2051,"ADP National Employment Report: Private Sector Employment Decreased by 301,000 Jobs in January",Negative,COMPANY_RISK,2
2052,Aptiv Tops Expectations but Chip Shortage Will Continue to Hit Self-Driving Cars,Negative,COMPANY_RISK,2
2053,"Marathon Petroleum Corporation (MPC) Soars to 52-Week High, Time to Cash Out?",Negative,COMPANY_RISK,2
2054,"Supply chain outlook still pretty severe, economist says",Negative,COMPANY_RISK,2
2055,These 2 Real Estate Stocks Pay for Themselves,Negative,COMPANY_RISK,2
2056,Why Is Assurant (AIZ) Down 9.8% Since Last Earnings Report?,Negative,MARKET_RISK,1
2057,Marsh & McLennan (MMC) Arm Sells Associations Business to AMBA,Negative,COMPANY_RISK,2
2058,"Celsius Holdings CEO on the companys growth in the sports drink market: If its cold, its sold",Negative,MARKET_RISK,1
2059,Is Copart (NASDAQ:CPRT) A Risky Investment?,Negative,MARKET_RISK,1
2060,U.S. SEC rejects Grayscale's spot bitcoin ETF application,Negative,COMPANY_RISK,2
2061,Oracle Continues to Struggle to Make a Durable Low,Negative,COMPANY_RISK,2
2062,"Wells Fargo experts: Here's how Orlando businesses can navigate inflation, labor shortages and supply chain woes",Negative,MARKET_RISK,1
2063,"In rare Austin-area semiconductor setback, Round Rock ISD declines Chapter 313 application from supplier",Negative,COMPANY_RISK,2
2064,LKQ (LKQ) Outpaces Stock Market Gains: What You Should Know,Negative,MARKET_RISK,1
2065,"US STOCKS-Wall St tumbles as weak earnings, rate hike worries weigh",Negative,COMPANY_RISK,2
2066,Boston Scientific Falls as Revenue Outlook Disappoints,Negative,COMPANY_RISK,2
2067,Raleigh retail center trades for $31M as Chicago investor stays active,Negative,COMPANY_RISK,2
2068,"UPDATE 5-Amazon results and outlook fall short as warehouse, fuel costs soar",Negative,COMPANY_RISK,2
2069,"Moody's outlook falls shot of estimates, stock drops",Negative,COMPANY_RISK,2
2070,MPLX LP (MPLX) Down 2.6% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2071,These Stocks Are More of a Gamble Than an Investment,Negative,COMPANY_RISK,2
2072,Las Vegas Sands (LVS) Q1 Earnings & Revenues Miss Estimates,Negative,COMPANY_RISK,2
2073,UPDATE 2-Auto parts maker Aptiv expects production to be affected by supply chain woes,Negative,COMPANY_RISK,2
2074,Sanctions on Russia Are Affecting These 10 Stocks,Negative,COMPANY_RISK,2
2075,Recap: Globe Life Q3 Earnings,Negative,COMPANY_RISK,2
2076,Waste Connections (WCN) Stock Down 5.4% Since Q1 Earnings Beat,Negative,MARKET_RISK,1
2077,"BNY Mellon to take $100M revenue hit in 1Q from Russia-related actions, government sanctions",Negative,REGULATORY_RISK,3
2078,Thermo Fisher Scientific Declares Quarterly Dividend,Negative,COMPANY_RISK,2
2079,Kinder Morgan (KMI) Stock Moves -1.13%: What You Should Know,Negative,COMPANY_RISK,2
2080,Marsh McLennan Declares Quarterly Cash Dividend,Negative,COMPANY_RISK,2
2081,New Strong Sell Stocks for November 12th,Negative,COMPANY_RISK,2
2082,"Medtronic Topples As Lockdowns, Supply Issues Hammer Results",Negative,MARKET_RISK,1
2083,10 Stocks US Congressmen Are Selling,Negative,COMPANY_RISK,2
2084,Biogen stock slides 2% after it withdraws authorization application with EU regulator,Negative,COMPANY_RISK,2
2085,"Align Technology's Q4 Clear Aligner Revenues Fall Sequentially, Margins Compress",Negative,COMPANY_RISK,2
2086,Boeing Gets an Upgrade. The Analyst Still Doesnt Like the Stock.,Negative,COMPANY_RISK,2
2087,JPMorgan Piles On With Estimate Cuts Before Earnings: Tech Watch,Negative,COMPANY_RISK,2
2088,BlackRock® Canada Announces June Cash Distributions for the iShares® ETFs,Negative,COMPANY_RISK,2
2089,HanesBrands Global Activewear president resigns to become CEO of British shoe company,Negative,COMPANY_RISK,2
2090,Vertex Pharmaceuticals (VRTX) Q1 Earnings Miss Estimates,Negative,COMPANY_RISK,2
2091,Baxter Falls After Goldman Sachs Downgrade,Negative,MARKET_RISK,1
2092,Be Wary Of Rollins (NYSE:ROL) And Its Returns On Capital,Negative,COMPANY_RISK,2
2093,Juniper stock drops after earnings; company says supply-chain impacts could linger,Negative,COMPANY_RISK,2
2094,"Dow transports tumble again, as railroad downgrades act as a drag",Negative,MARKET_RISK,1
2095,Charter Communications stock slips after Bank of America ends bullish call on cable name,Negative,REGULATORY_RISK,3
2096,"Xylem (NYSE:XYL) sheds 5.1% this week, as yearly returns fall more in line with earnings growth",Negative,COMPANY_RISK,2
2097,Snap-on's (NYSE:SNA) Returns Have Hit A Wall,Negative,COMPANY_RISK,2
2098,Housing: Homebuyers turn to second jobs to afford a down payment,Negative,MARKET_RISK,1
2099,Equifax (EFX) to Report Q1 Earnings: What's in the Offing?,Negative,COMPANY_RISK,2
2100,"US STOCKS-Wall St benchmarks drop 2% on weak earnings, rate hike worries",Negative,COMPANY_RISK,2
2101,Halliburton Company (NYSE:HAL) Stock Goes Ex-Dividend In Just Four Days,Negative,COMPANY_RISK,2
2102,"IDEXX's (IDXX) Low LPD Sales, Rise in Expenses Dampen Growth",Negative,COMPANY_RISK,2
2103,Why Is PerkinElmer (PKI) Down 4.2% Since Last Earnings Report?,Negative,MARKET_RISK,1
2104,Mirati Therapeutics Plunges As Its Hopes To Take On Amgen In Lung Cancer Crash,Negative,MARKET_RISK,1
2105,"The stock market is depressed, and apparently that's great: Morning Brief",Negative,MARKET_RISK,1
2106,Whirlpool Corporation's Diversity Council at Clyde,Negative,COMPANY_RISK,2
2107,E-Commerce Stocks Sink to Two-Year Lows on Earnings Malaise,Negative,COMPANY_RISK,2
2108,Investors Could Be Concerned With Ameren's (NYSE:AEE) Returns On Capital,Negative,COMPANY_RISK,2
2109,General Dynamics (GD) Down 8.3% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2110,World Banks Reinhart Sees More Debt Distress Risks,Negative,REGULATORY_RISK,3
2111,"Procter & Gamble (PG) Tops on Q3 Earnings & Sales, Hikes View",Negative,COMPANY_RISK,2
2112,Better Bear Market Buy: Coca-Cola vs. Altria,Negative,MARKET_RISK,1
2113,Abbott halts EleCare output from plant at center of baby formula shortage,Negative,COMPANY_RISK,2
2114,Why Is ServiceNow (NOW) Down 9.8% Since Last Earnings Report?,Negative,MARKET_RISK,1
2115,Earnings Preview: Allstate (ALL) Q1 Earnings Expected to Decline,Negative,COMPANY_RISK,2
2116,Why Is Norwegian Cruise Line (NCLH) Down 1.8% Since Last Earnings Report?,Negative,MARKET_RISK,1
2117,Church & Dwight Co Inc (CHD) President and CEO Matthew Farrell Sold $8.4 million of Shares,Negative,COMPANY_RISK,2
2118,Chipotle Investors Can Expect to Experience Heartburn,Negative,COMPANY_RISK,2
2119,"Midday Movers: Moderna, Twitter, Campbell Soup and More",Negative,COMPANY_RISK,2
2120,Why Shares of Ford Took a U-Turn on Tuesday,Negative,COMPANY_RISK,2
2121,Cardinal Health's Shares Fall as Inflation and Supply Chain Constraints Hit Q3 Earnings,Negative,MARKET_RISK,1
2122,Why Shares of Huntington Bancshares Are Falling Today,Negative,REGULATORY_RISK,3
2123,The Mobile Phone Industry's Biggest Problem Just Got Bigger,Negative,COMPANY_RISK,2
2124,Return Trends At Alliant Energy (NASDAQ:LNT) Aren't Appealing,Negative,MARKET_RISK,1
2125,"NIKE (NKE) Q4 Earnings & Sales Beat Estimates, Decline Y/Y",Negative,COMPANY_RISK,2
2126,Paychex Reported a Solid Outlook. Heres Why the Stock Is Falling.,Negative,COMPANY_RISK,2
2127,Zimmer (ZBH) Down 5.6% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2128,The S&P 500 Is Down 22% -- It's Time to Buy These 3 Ultra-Growth Stocks,Negative,MARKET_RISK,1
2129,Pinterest Is Shooting Itself in the Foot With Its CEO Change,Negative,COMPANY_RISK,2
2130,Moodys Named to Bloomberg Gender-Equality Index for Third Consecutive Year,Negative,MARKET_RISK,1
2131,"Liberty Oilfield sees US fracking activity and oil output growing, but its losses are too",Negative,COMPANY_RISK,2
2132,Miami apartment tower sells for $221M,Negative,COMPANY_RISK,2
2133,"Corsicana & Co. Buys Block Inc, Cummins Inc, SPDR Portfolio S&P 500 ETF, Sells iShares ...",Negative,COMPANY_RISK,2
2134,Ford Makes a Misstep in Its Race Against Tesla,Negative,COMPANY_RISK,2
2135,Looming Debt Crunch Positions Laos as Next Possible Asia Default,Negative,COMPANY_RISK,2
2136,Oneok Inc. (OKE) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
2137,Fifth Third Bancorp (FITB) Lags Q1 Earnings and Revenue Estimates,Negative,REGULATORY_RISK,3
2138,"The one-year underlying earnings growth at Skyworks Solutions (NASDAQ:SWKS) is promising, but the shareholders are still in the red over that time",Negative,MARKET_RISK,1
2139,PC and Phone Demand Is Weakening. Analysts See Trouble for Parts Suppliers.,Negative,COMPANY_RISK,2
2140,Investors of Russian-based stocks in limbo as exchanges mull halted stock market,Negative,MARKET_RISK,1
2141,"Under Armour stock falls amid removal from S&P 500, analyst downgrade",Negative,MARKET_RISK,1
2142,Biogen stops clinical trial tracking Aduhelm,Negative,COMPANY_RISK,2
2143,McCormick Cuts Forecasts as Costs Rise. The Stock Is Dropping After Earnings.,Negative,COMPANY_RISK,2
2144,Amgen (AMGN) Stock Moves -0.21%: What You Should Know,Negative,COMPANY_RISK,2
2145,"Loews earnings rise, but revenue falls as investment income swings to negative due to rise in interest rates",Negative,COMPANY_RISK,2
2146,"Baby formula shortage hearing spotlights Abbott plant conditions, FDA oversight",Negative,COMPANY_RISK,2
2147,Corning (GLW) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
2148,JPMorgan Chase sticks to plan to provide travel benefits for out-of-state abortions,Negative,COMPANY_RISK,2
2149,Intel CEO: Chip shortage highlights a national security issue,Negative,COMPANY_RISK,2
2150,Nasdaq Correction Deepens as Stocks Slide,Negative,MARKET_RISK,1
2151,Here is What Hedge Funds Think About BorgWarner Inc. (BWA),Negative,COMPANY_RISK,2
2152,Kohl's Stock Plunges As Retailer Scraps Franchise Group Sale Talks,Negative,COMPANY_RISK,2
2153,"Raymond James posts declines in investment banking, brokerage revenue",Negative,REGULATORY_RISK,3
2154,BD Announces Voluntary Recall on Intraosseous Products,Negative,COMPANY_RISK,2
2155,"It Might Not Be A Great Idea To Buy Lamb Weston Holdings, Inc. (NYSE:LW) For Its Next Dividend",Negative,COMPANY_RISK,2
2156,"Dow Jones Futures Fall On Micron Warning; Tesla Rivals Li, Nio Sales Boom",Negative,MARKET_RISK,1
2157,"Travelers, Alcoa Rise in Premarket; United Falls on Weak Forecast",Negative,MARKET_RISK,1
2158,Longtime Cincinnati Financial C-suite leader to depart,Negative,COMPANY_RISK,2
2159,Qualcomms Apple Slice Still Has an Expiration Date,Negative,COMPANY_RISK,2
2160,Huntington Bancshares (HBAN) Stock Moves -0.73%: What You Should Know,Negative,REGULATORY_RISK,3
2161,Were Hedge Funds Right About Howmet Aerospace Inc. (HWM)?,Negative,COMPANY_RISK,2
2162,"Bridgestone to vacate north of 100,000 square feet in downtown office",Negative,MARKET_RISK,1
2163,Slumping Chip Stocks Microchip and Analog Devices See Insider Buying,Negative,COMPANY_RISK,2
2164,Why Is Ralph Lauren (RL) Down 1.5% Since Last Earnings Report?,Negative,MARKET_RISK,1
2165,"Russia-Ukraine war impacting supply chains for over 300,000 companies: Interos CEO",Negative,COMPANY_RISK,2
2166,Here's Why You Should Retain Bruker (BRKR) Stock for Now,Negative,COMPANY_RISK,2
2167,"Job market: Private payrolls fell by 301,000 in January, ADP reports",Negative,MARKET_RISK,1
2168,Why Shares in Johnson Controls Fell More Than 10% in January,Negative,COMPANY_RISK,2
2169,Why AEP's decade of smart grid investment couldn't prevent this outage,Negative,COMPANY_RISK,2
2170,Report: New Research from Paychex Reveals Workers' Top Concerns Around COVID-19 Variants,Negative,COMPANY_RISK,2
2171,Was The Smart Money Right About SBA Communications (SBAC)?,Negative,COMPANY_RISK,2
2172,Dentsply Sirona Declares Quarterly Cash Dividend,Negative,COMPANY_RISK,2
2173,Booking Holdings (BKNG) Q1 2022 Earnings Call Transcript,Negative,COMPANY_RISK,2
2174,Analysts Hailed CarMax's Q1 Performance While Highlighting Concerns,Negative,COMPANY_RISK,2
2175,Why Is TJX (TJX) Down 7.1% Since Last Earnings Report?,Negative,MARKET_RISK,1
2176,Russia-Ukraine war having a massive impact on the global economy: IMF Chief Economist,Negative,COMPANY_RISK,2
2177,"Apogee (APOG) Beats Earnings Estimates in Q1, Hikes View",Negative,COMPANY_RISK,2
2178,Kohl's stock extends selloff after details plan of increased investment in stores,Negative,COMPANY_RISK,2
2179,Rupert Murdoch and Jerry Hall are getting a divorce - NYT,Negative,COMPANY_RISK,2
2180,Waste Management (WM) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
2181,Under Armour CEO Patrik Frisk to step down in June,Negative,MARKET_RISK,1
2182,Fortune Brands Home & Security (FBHS) Down 4.4% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2183,Fortinet (FTNT) Stock Sinks As Market Gains: What You Should Know,Negative,MARKET_RISK,1
2184,"Analysts Estimate Raymond James Financial, Inc. (RJF) to Report a Decline in Earnings: What to Look Out for",Negative,COMPANY_RISK,2
2185,"American Airlines fuel cost warning eclipses upbeat revenue forecast, shares fall",Negative,COMPANY_RISK,2
2186,Oil Posts First Monthly Drop This Year as OPEC+ Hikes Supply,Negative,COMPANY_RISK,2
2187,Martin Marietta (MLM) Down 10.7% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
2188,Is UDR Stock A Buy or Sell?,Negative,COMPANY_RISK,2
2189,Chubb (CB) Down 1.6% Since Last Earnings Report: Can It Rebound?,Negative,MARKET_RISK,1
